speaker,(*),L*,H*,>H*,L*H,gender,mean_speech_rate
F5,4,0,5,2,24,F,6.113
F6,3,0,0,1,31,F,6.125
F12,0,1,0,0,34,F,4.95
F15,0,0,2,2,31,F,5.87
F16,0,0,0,0,35,F,5.022
F17,1,7,0,0,27,F,4.919
M4,5,0,11,5,15,M,5.97
M5,0,0,17,0,18,M,6.436
M8,0,0,2,10,23,M,6.006
M9,0,0,23,9,2,M,6.263
M10,0,0,6,1,28,M,5.638
