intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
acc_phonL*H,acc_phon>H*,-62.36,-89.41974492705648,-35.30774034647956,13.74,-4.54,251.08,8.8e-06,1.2e-04,p<.001
acc_phonL*H,acc_phonH*,-77.28,-99.43352654084076,-55.11980639129072,11.25,-6.87,244.63,5.3e-11,2.1e-09,p<.001
acc_phon>H*,acc_phonH*,-14.91,-46.20263418014075,16.37678651812954,15.89,-0.94,251.12,0.349,0.508,
wrd_end_syl1,wrd_end_syl2,-14.19,-28.18597572210825,-0.20320633670998944,7.1,-2,245.92,0.047,0.162,
wrd_end_syl1,wrd_end_syl3,19.78,-0.3949163454373519,39.948933507172626,10.24,1.93,244.02,0.055,0.162,
wrd_end_syl2,wrd_end_syl3,33.97,14.31599601144973,53.62720321075423,9.98,3.4,245.08,7.7e-04,0.005,p<.01
intercept,genderM,-104.735,-140.62240980568194,-68.84662401312639,16.034,-6.532,9.68,7.7e-05,7.6e-04,p<.001
