term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,140332.444,70166.222,2,250.204,28.748,5.8e-12,1.2e-10,p<.001
wrd_end_syl,30554.685,15277.343,2,245.26,6.259,0.002,0.006,p<.01
gender,104136.186,104136.186,1,9.679,42.666,7.7e-05,5.1e-04,p<.001
