term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
wrd_end_syl,3.448,1.724,2,8.916,2.217,0.165,0.286,
gender,4.097,4.097,1,7.061,5.268,0.055,0.116,
