term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
ana_syls,81107.119,27035.706,3,181.738,41.701,1.5e-20,6.0e-19,p<.001
acc_phon,30519.432,15259.716,2,5.816,23.537,0.002,0.006,p<.01
gender,13525.471,13525.471,1,8.6,20.862,0.002,0.006,p<.01
