intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,0.73,-0.6771151122256363,2.1338852425606447,0.64,1.13,11.82,0.28045742844831845,NA,NA
foot_syls2,1.57,0.11350262581771875,3.0359750428775687,0.69,2.29,15.25,0.03640734277911668,NA,NA
foot_syls3,3.02,1.617469997030663,4.427706650769472,0.64,4.7,11.8,5.421639843148517e-4,NA,NA
foot_syls4,2.73,1.3517317989284536,4.117878492586437,0.63,4.35,11.07,0.001140802125222016,NA,NA
pre_syls0,0.73,-0.6771151122256363,2.1338852425606447,0.64,1.13,11.82,0.28045742844831845,NA,NA
pre_syls1,1.55,0.1421238052429552,2.9547868181056955,0.64,2.4,11.87,0.0336061017695213,NA,NA
pre_syls2,1.47,0.07168355469473697,2.8764118434313506,0.64,2.29,12.08,0.040908559265113636,NA,NA
pre_syls3,1.88,0.47930582203028815,3.2715276644566513,0.64,2.93,11.79,0.012750467776977472,NA,NA
