term,sumsq,meansq,NumDF,DenDF,F value,p.value,signif.
acc_phon,321.362,107.121,3,473.74,48.279,3.061904522646096e-27,p<0.001
fin_phon,39.932,19.966,2,568.688,8.999,1.420685240713809e-4,p<0.001
gender,44.271,44.271,1,9.369,19.953,0.0014136151028722298,p<0.01
