term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,580.701,193.567,3,611.075,96.769,3.0e-51,3.5e-50,p<0.0001
gender,34.926,34.926,1,8.994,17.46,0.002,0.003,p<0.01
fin_phon,177.851,88.925,2,612.208,44.456,9.4e-19,3.3e-18,p<0.0001
