term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,89.422,29.807,3,9.956,10.521,0.002,0.003,p<0.01
h_start,51.903,51.903,1,568.169,18.32,2.2e-05,5.0e-05,p<0.0001
