term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,90.497,30.166,3,10.114,10.855,0.002,0.003,p<0.01
h_start,30.292,30.292,1,576.755,10.901,0.001,0.002,p<0.01
