term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,2413.935,804.645,3,617.034,188.103,1.30e-86,7.28e-85,p<0.0001
fin_phon,43.223,43.223,1,619.84,10.104,0.0016,0.0031,p<0.01
gender,45.237,45.237,1,8.994,10.575,0.01,0.0144,p<0.05
