term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,37.966,12.655,3,607.532,7.425,6.86e-05,1.83e-04,p<0.001
acc_phon,140.546,46.849,3,609.148,27.485,1.11e-16,8.88e-16,p<0.0001
fin_phon,14.279,14.279,1,614.906,8.377,0.0039,0.0066,p<0.01
gender,2.147,2.147,1,9.031,1.26,0.2906,0.3255,
mode:acc_phon,3.957,0.989,4,607.809,0.58,0.677,0.677,
