term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
mode,5512.51,1837.503,3,608.834,2.693,0.045,0.051,(p<0.1)
acc_phon,24208.61,8069.537,3,609.812,11.824,1.5e-07,3.2e-07,p<0.0001
mode:acc_phon,3082.381,1027.46,3,608.668,1.506,0.212,0.228,
