code,speaker,gender,stim,rep,sent,metre_ID,stim_metre,tot_syls,ana_syls,tot_feet,cur_foot,foot_syls,wrd_end_syl,acc_phon,phr_phon,init_phon,fin_phon,v_text,phr_end_t,ana_end_t,foot_start_t,foot_end_t,stress_end_t,wrd_fin_syl_start_t,wrd_end_t,v_onset_t,v_offset_t,s_t,e_t,l_t,h_t,l_syl_start_t,l_syl_end_t,h_syl_start_t,h_syl_end_t,v_grand_mean_t,l_grand_mean_t,h_grand_mean_t,s_grand_mean_t,e_grand_mean_t,v_syl,l_syl,h_syl,s_f0,e_f0,v_onset_f0,l_f0,h_f0,slope_st,utt_mean_f0,utt_med_f0,f0_mean,f0_SD,location
F5_MDC2_r6,F5,F,MDC2,r6,i LIVE in the VALLey,132,MDC2_132,6,1,2,1,3,1,(*),% (*) L*H %,%,%,V,680,40,40,329,187,40,187,83,144,7,659,74,94,40,187,40,187,125,114,138,13,768,2,2,2,88.93,93.22,89.84,89.74,89.88,7.367,89.83,89.84,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r6,F5,F,MDC2,r6,i LIVE in the VALLey,132,MDC2_132,6,1,2,2,2,2,L*H,% (*) L*H %,%,%,V,680,40,329,680,567,567,680,373,531,7,659,489,621,329,567,567,680,447,565,717,13,768,5,5,6,88.93,93.22,87.61,85.91,94.22,77.255,89.68,89.33,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r7,F5,F,MDC2,r7,i LIVE in the VALLey,132,MDC2_132,6,1,2,1,3,1,(*),% (*) L*H %,%,%,V,698,35,35,351,216,35,216,102,165,5,679,335,107,309,351,35,216,139,381,143,10,767,2,4,2,89.92,93.56,90.36,87.37,90.32,-12.836,88.60,88.32,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC2_r7,F5,F,MDC2,r7,i LIVE in the VALLey,132,MDC2_132,6,1,2,2,2,2,L*H,% (*) L*H %,%,%,V,698,35,351,698,599,599,698,403,542,5,679,503,635,351,599,599,698,453,551,700,10,767,5,5,6,89.92,93.56,87.10,85.94,95.07,85.865,90.14,89.91,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC3_1,F5,F,MDC3,1,i've HIDDen the VALuables,133,MDC3_133,7,1,2,1,3,2,H*,% H* L*H L%,%,L%,V,1038,86,86,403,250,250,367,141,205,0,854,150,172,86,250,86,250,195,204,227,0,931,2,2,2,90.47,88.33,92.34,92.49,92.77,15.293,92.63,92.64,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC3_1,F5,F,MDC3,1,i've HIDDen the VALuables,133,MDC3_133,7,1,2,2,3,3,L*H,% H* L*H L%,%,L%,V,1038,86,403,1038,625,696,1038,465,573,0,854,565,782,403,625,696,1038,527,631,853,0,931,5,5,7,90.47,88.33,90.07,88.49,93.95,28.706,91.56,92.08,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC3_2,F5,F,MDC3,2,I've HIDDen the VALuables,133,MDC3_133,7,1,2,1,3,2,H*,% H* L*H L%,%,L%,V,1057,84,84,380,222,222,345,144,190,13,829,129,166,84,222,84,222,212,193,239,21,913,2,2,2,91.38,87.97,94.56,94.09,94.88,22.023,94.62,94.67,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC3_2,F5,F,MDC3,2,I've HIDDen the VALuables,133,MDC3_133,7,1,2,2,3,3,L*H,% H* L*H L%,%,L%,V,1057,84,380,1057,607,669,1057,437,550,13,829,524,741,380,607,669,1057,520,609,829,21,913,5,5,7,91.38,87.97,90.22,89.00,95.72,35.949,92.88,93.74,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC3_3,F5,F,MDC3,3,I've HIDDen the VALuables,133,MDC3_133,7,1,2,1,3,2,H*,% H* L*H L%,%,L%,V,1030,78,78,385,231,231,346,117,188,7,840,131,165,78,231,78,231,181,197,235,12,935,2,2,2,90.56,88.06,90.94,91.34,92.71,41.919,92.14,92.17,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC3_3,F5,F,MDC3,3,I've HIDDen the VALuables,133,MDC3_133,7,1,2,2,3,3,L*H,% H* L*H L%,%,L%,V,1030,78,385,1030,616,671,1030,442,555,7,840,513,749,385,616,671,1030,519,590,841,12,935,5,5,7,90.56,88.06,90.25,88.65,93.57,24.045,90.88,90.99,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC3_4,F5,F,MDC3,4,I've HIDDen the VALuables,133,MDC3_133,7,1,2,1,3,2,H*,% H* L*H L%,%,L%,V,1157,120,120,486,288,288,435,188,239,13,945,181,218,120,288,120,288,207,199,237,15,927,2,2,2,91.35,87.27,92.33,92.14,93.32,34.767,92.73,92.74,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC3_4,F5,F,MDC3,4,I've HIDDen the VALuables,133,MDC3_133,7,1,2,2,3,3,L*H,% H* L*H L%,%,L%,V,1157,120,486,1157,720,772,1157,541,659,13,945,624,843,486,720,772,1157,516,598,828,15,927,5,5,7,91.35,87.27,90.57,89.11,93.55,23.269,91.49,91.69,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC3_5,F5,F,MDC3,5,I've HIDDen the VALuables,133,MDC3_133,7,1,2,1,3,2,>H*,% >H* L*H L%,%,L%,V,1119,124,124,448,269,269,402,170,218,0,900,160,315,124,269,269,402,192,180,343,0,918,2,2,3,90.45,86.52,92.72,92.49,93.48,3.862,93.20,93.27,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDC3_5,F5,F,MDC3,5,I've HIDDen the VALuables,133,MDC3_133,7,1,2,2,3,3,L*H,% >H* L*H L%,%,L%,V,1119,124,448,1119,684,737,1119,508,623,0,900,573,802,448,684,737,1119,521,584,823,0,918,5,5,7,90.45,86.52,89.68,88.51,93.74,28.58,91.46,91.52,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_2,F5,F,MDQ1,2,You VALued the VASes?,132,MDQ1_132,6,1,2,1,3,2,^[L*H,% ^[L*H L*H] %,%,%,V,921,72,72,446,291,291,406,129,233,8,812,175,321,72,291,291,406,140,190,350,9,929,2,2,3,93.40,102.33,94.22,94.55,96.74,16.411,95.76,95.97,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
F5_MDQ1_2,F5,F,MDQ1,2,You VALued the VASes?,132,MDQ1_132,6,1,2,2,2,2,L*H],% ^[L*H L*H] %,%,%,V,921,72,446,921,725,725,921,503,656,8,812,549,771,446,725,725,921,568,618,872,9,929,5,5,6,93.40,102.33,93.97,94.01,103.10,48.143,97.79,96.97,92.169,3.372,D:/Users/antoi/OneDrive/00 Academic/Phonetics and speech/PhD - Derry Intonation/2 Field Recordings//Analysis_1_standard/F5/sentence_modes/
