intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,-0.81,-5.7508366628778465,4.136757568031632,2.16,-0.37,8.27,0.718,0.824,
foot_syls1,foot_syls3,-2.82,-8.70658886241407,3.0674982154053545,2.4,-1.17,5.96,0.285,0.449,
foot_syls1,foot_syls4,2.33,-5.726337349813413,10.386500141430876,3.65,0.64,10.64,0.536,0.695,
foot_syls2,foot_syls3,-2.01,-7.59519145115791,3.5701984715775135,2.1,-0.96,4.49,0.386,0.538,
foot_syls2,foot_syls4,3.14,-6.673446020047623,12.947716702917685,4.34,0.72,9.01,0.488,0.651,
foot_syls3,foot_syls4,5.15,-4.830075375059782,15.129385084150345,4.39,1.17,8.74,0.272,0.449,
intercept,genderM,4.403,-0.9885356831075772,9.794121173239962,2.242,1.964,6.46,0.094,0.21,
