intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,238.8,210.30721348430808,267.28930871588835,13.03,18.32,11.67,5.9e-10,3.4e-09,p<.001
foot_syls2,289.13,265.915743293899,312.34349048919796,10.68,27.08,12.23,2.7e-12,5.1e-11,p<.001
foot_syls3,316.53,284.12192740966844,348.9322241175868,14.73,21.49,11.05,2.3e-10,1.6e-09,p<.001
foot_syls4,318.69,293.16241386865426,344.2146020598553,11.59,27.5,10.94,1.9e-11,2.7e-10,p<.001
acc_phonL*H,238.8,210.30721348430808,267.28930871588835,13.03,18.32,11.67,5.9e-10,3.4e-09,p<.001
acc_phon>H*,190.9,154.67485513119175,227.12033880247503,17.87,10.69,36.29,9.3e-13,2.7e-11,p<.001
acc_phonH*,166.17,134.7347723970021,197.6085245393567,14.95,11.11,17.83,1.9e-09,7.2e-09,p<.001
