term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,184.397,61.466,3,112.977,0.116,0.95,0.95,
acc_phon,266.662,266.662,1,1.368,0.504,0.579,0.68,
gender,21028.823,21028.823,1,8.513,39.766,1.8e-04,9.0e-04,p<.001
