intercept,slope,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,foot_syls2,-0.5,-1.105755216786256,0.10951030390216836,0.31,-1.62,112.28,0.107,0.233,
foot_syls1,foot_syls3,-0.4,-1.0246281528018193,0.2174773329956148,0.31,-1.29,116.39,0.201,0.378,
foot_syls1,foot_syls4,-0.59,-1.208523322598703,0.0352920358995793,0.31,-1.87,117.17,0.064,0.176,
foot_syls2,foot_syls3,0.09,-0.44591705429185624,0.635011147373894,0.27,0.35,110.64,0.73,0.824,
foot_syls2,foot_syls4,-0.09,-0.6412403090579559,0.4642539352443209,0.28,-0.32,113.28,0.752,0.83,
foot_syls3,foot_syls4,-0.18,-0.6986117262646739,0.3325312593690012,0.26,-0.7,110.29,0.483,0.651,
intercept,acc_phonL*,0.057,-0.9619498964599263,1.0755805686426292,0.514,0.11,117.98,0.912,0.947,
intercept,genderM,0.721,-0.47420341867979887,1.9170739770909144,0.498,1.449,6.5,0.194,0.372,
