intercept,slope,estimate,conf.low,conf.high,std.error,z.value,df,p.value,p.adj (BH),signif.
modeMDC,modeMWH,-2.093,-4.850005075295297,0.6638163719978571,1.239,-1.689,10.11,0.122,0.144,
modeMDC,modeMYN,2.907,1.2891050981980594,4.5244344770728935,0.727,3.997,10.12,0.002,0.005,p<0.01
modeMDC,modeMDQ,5.07,3.0169473898731027,7.12304453013202,0.93,5.449,10.78,2.2e-04,0.001,p<0.01
modeMWH,modeMYN,5,2.0744151301770564,7.9253164313353555,1.317,3.796,10.24,0.003,0.006,p<0.01
modeMWH,modeMDQ,7.163,3.631495874834088,10.694690908964656,1.593,4.495,10.41,0.001,0.004,p<0.01
modeMYN,modeMDQ,2.163,0.872332699434359,3.454118602792676,0.578,3.74,9.87,0.004,0.007,p<0.01
intercept,h_startFALSE,0.917,0.4960549714669201,1.3374467301973567,0.214,4.28,568.17,2.2e-05,2.9e-04,p<0.001
