intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value,p.adj (BH),signif.
modeMDC,86.082,1.515,83.112,89.052,56.805,10,6.92e-14,4.30e-13,p<0.0001
modeMWH,86.551,1.352,83.901,89.201,64.013,10,2.10e-14,2.62e-13,p<0.0001
modeMYN,86.841,1.387,84.123,89.56,62.616,10,2.62e-14,2.62e-13,p<0.0001
modeMDQ,88.369,1.591,85.251,91.487,55.555,10,8.61e-14,4.30e-13,p<0.0001
