intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=16),signif. 
acc_phonL*H,acc_phon^[L*]H,4.206,1.313,1.634,6.779,3.204,590.08,0.0014,0.0228,p<0.05
acc_phonL*H,acc_phonL*^[H],1.527,0.407,0.73,2.325,3.752,1.55,0.0936,0.9999,
acc_phonL*H,acc_phon^[L*H],3.982,0.61,2.785,5.178,6.524,8.87,1.1609e-04,0.0019,p<0.01
acc_phon^[L*]H,acc_phonL*^[H],-2.563,0.964,-4.452,-0.674,-2.66,0,0.9932,0.9999,
acc_phon^[L*]H,acc_phon^[L*H],-0.109,1.019,-2.106,1.888,-0.107,0.04,0.9798,0.9999,
acc_phonL*^[H],acc_phon^[L*H],2.454,0.674,1.133,3.775,3.642,7.92,0.0067,0.1069,
