intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=16),signif. 
acc_phonL*H,93.504,5.696,82.339,104.668,16.415,9.94,1.5796e-08,2.53e-07,p<0.001
acc_phon^[L*]H,82.189,10.115,62.364,102.014,8.126,90.27,2.2052e-12,3.53e-11,p<0.001
acc_phonL*^[H],72.699,6.559,59.844,85.553,11.084,17.4,2.5960e-09,4.15e-08,p<0.001
acc_phon^[L*H],70.016,5.958,58.338,81.694,11.751,11.89,6.6931e-08,1.07e-06,p<0.001
