intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=16),signif. 
acc_phonL*H,86.988,1.196,84.643,89.333,72.703,9.21,4.9908e-14,7.99e-13,p<0.001
acc_phon^[L*]H,91.078,1.497,88.144,94.013,60.831,0,0.9676,0.9999,
acc_phonL*^[H],88.515,1.27,86.026,91.004,69.707,9.25,6.6711e-14,1.07e-12,p<0.001
acc_phon^[L*H],90.969,1.418,88.19,93.748,64.161,11.76,2.4635e-16,3.94e-15,p<0.001
