intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=16),signif. 
modeMDC,modeMWH,0.331,2.623,-4.811,5.473,0.126,9.93,0.9021,0.9999,
modeMDC,modeMYN,-2.715,4.947,-12.411,6.98,-0.549,10.02,0.5951,0.9999,
modeMDC,modeMDQ,-22.228,5.101,-32.227,-12.23,-4.357,9.94,0.0014,0.0231,p<0.05
modeMWH,modeMYN,-3.046,4.061,-11.006,4.913,-0.75,10,0.4704,0.9999,
modeMWH,modeMDQ,-22.559,4.202,-30.795,-14.324,-5.369,9.68,3.5174e-04,0.0056,p<0.01
modeMYN,modeMDQ,-19.513,5.316,-29.933,-9.093,-3.67,9.99,0.0043,0.0691,
