intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=16),signif. 
modeMDC,91.609,1.259,89.141,94.077,72.754,11.59,8.6942e-17,1.39e-15,p<0.001
modeMWH,92.002,1.121,89.805,94.199,82.081,11.11,8.1769e-17,1.31e-15,p<0.001
modeMYN,93.451,1.134,91.229,95.674,82.418,11.18,6.4408e-17,1.03e-15,p<0.001
modeMDQ,96.655,1.521,93.674,99.636,63.554,12.21,9.2051e-17,1.47e-15,p<0.001
