npar,AIC,BIC,logLik,deviance,Chisq,Df,Pr(>Chisq),p.adj (BH),signif.
3,819.42,832.8,-406.71,813.42,NA,NA,NA,NA,NA
7,487.748,518.968,-236.874,473.748,339.672,4,3.0e-72,1.5e-71,p<0.0001
