intercept,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
modeMDC,-6.39,-8.508200072739967,-4.271249607347692,1.081,-5.912,3.4e-09,3.7e-08,p<0.0001
modeMWH,-6.38,-8.50068432698268,-4.258989685435122,1.082,-5.896,3.7e-09,3.7e-08,p<0.0001
modeMYN,-2.205,-3.4641200524528184,-0.9459166659125416,0.642,-3.432,6.0e-04,0.001,p<0.01
modeMDQ,-0.069,-1.222327170175466,1.0834200002537695,0.588,-0.118,0.906,0.963,
