intercept,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
modeMDC,-0.975,-3.1171804735702544,1.167541352146085,1.093,-0.892,0.372,0.496,
modeMWH,-5.27,-8.217543769716528,-2.3227126332574466,1.504,-3.505,4.6e-04,0.001,p<0.01
modeMYN,-0.069,-2.204396652079633,2.0656239089565744,1.089,-0.064,0.949,0.963,
modeMDQ,-0.05,-2.1850017110259934,2.085174655344569,1.089,-0.046,0.963,0.963,
