intercept,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
modeMDC,-6.093,-9.083040272306304,-3.1021945602852043,1.526,-3.993,6.5e-05,2.6e-04,p<0.001
modeMWH,-6.091,-9.082844043469509,-3.0987583006883015,1.527,-3.99,6.6e-05,2.6e-04,p<0.001
modeMYN,-4.228,-6.391356497171431,-2.0640417876035504,1.104,-3.83,1.3e-04,4.3e-04,p<0.001
modeMDQ,-2.027,-3.929641029556321,-0.12448582615398784,0.971,-2.088,0.037,0.067,
