gender,mode,acc_phon,phr_phon,fin_phon,l_grand_mean_t,h_grand_mean_t,l_f0_z,h_f0_z,e_f0_z,f0_exc_z,e_f0_exc_z,lh_slope
F,MWH,L*H,% H* L*!H L*H %,%,83,282,-1.3549822064056947,-0.18357058125741393,-0.530545670225386,1.1714116251482807,-0.3469750889679721,28.518
F,MWH,L*H,% H* (*) L*H %,%,88,365,-1.0584223013048644,0.9285290628707,0.43327402135231274,1.9869513641755643,-0.4952550415183873,30.182
F,MWH,L*H,% H* L*!H L*H %,%,92,359,-1.0643534994068797,0.8336298932384363,0.4451364175563478,1.897983392645316,-0.3884934756820885,26.199
F,MWH,L*H,% H* L*!H L*H %,%,101,339,-1.1029062870699864,1.0026690391459077,0.6912811387900365,2.1055753262158943,-0.31138790035587116,36.999
F,MWH,L*H,%H H* L*!H L*H %,%,80,347,-1.0851126927639358,0.9285290628707,0.5222419928825652,2.013641755634636,-0.4062870699881348,30.472
F,MWH,L*H,% H* (*) L*H %,%,95,335,-1.1029062870699864,0.8988730723606186,0.6408659549228949,2.0017793594306053,-0.25800711743772375,33.613
F,MYN,L*^[H],% (*) L*^[H] %,%,103,352,-1.0910438908659557,2.607058125741399,2.6011269276393834,3.6981020166073546,-0.005931198102015589,62.005
F,MYN,L*^[H],% (*) L*^[H] %,%,81,342,-0.993179122182682,2.0584223013048644,2.0584223013048644,3.051601423487546,0,50.451
F,MYN,L*^[H],% (*) L*^[H] %,%,98,299,-0.6313760379596651,2.378706998813761,2.005041518386717,3.010083036773426,-0.37366548042704384,52.625
F,MYN,L*H,% (*) L*H %,%,117,328,-0.830071174377222,1.8478647686832768,1.9279359430604996,2.6779359430604988,0.08007117437722289,52.911
F,MYN,L*H,% (*) L*H %,%,106,337,-0.7529655990510088,1.7855871886121,1.7707591933570592,2.5385527876631087,-0.014827995255040749,47.622
F,MYN,L*H,% >H* L*H %,%,114,273,-0.5661328588374828,1.2517793594306061,0.9492882562277603,1.817912218268089,-0.3024911032028459,52.885
F,MYN,L*H,% >H* L*H L%,L%,98,233,-0.6491696322657156,1.3140569395017787,-0.16281138790035363,1.9632265717674944,-1.4768683274021324,55.467
F,MYN,L*H,% H* L*H L%,L%,93,218,-0.7470344009489891,1.3021945432977478,0.6764531435349959,2.049228944246737,-0.6257413997627519,70.038
F,MYN,L*H,% >H* L*H L%,L%,108,248,-1.0258007117437733,1.4771648873072387,0.18712930011862403,2.502965599051012,-1.2900355871886147,75.173
F,MYN,L*^[H],% >H* L*^[H] %,%,104,246,-0.877520759193358,1.901245551601424,1.6551008303677353,2.778766310794782,-0.2461447212336887,83.506
F,MYN,L*H,% (*) L*H %,%,119,351,-1.2067022538552796,1.2428825622775808,-0.044187425860024,2.4495848161328606,-1.2870699881376049,43.106
F,MYN,L*H,% (*) L*H L%,L%,113,323,-1.0791814946619205,1.100533807829181,-0.02935943060498332,2.1797153024911013,-1.1298932384341644,40.838
F,MYN,L*H,% (*) L*H %,%,106,331,-1.2304270462633455,1.3496441281138796,0.0032621589561120674,2.580071174377225,-1.3463819691577674,44.826
F,MYN,L*H,% (*) L*H L%,L%,101,328,-1.1444246737841028,1.4237841043890873,0.17526690391459318,2.56820877817319,-1.2485172004744942,45.341
F,MDC,L*H,% L*H L*H %,%,83,323,-0.8132260947274386,2.2520107238605864,1.9347631814119741,3.065236818588025,-0.3172475424486123,36.046
F,MDC,L*H,% L*H L*H %,%,98,320,-0.835567470956213,2.2073279714030374,2.189454870420014,3.0428954423592502,-0.017873100983023527,39.084
F,MDC,L*H,% L*H L*H %,%,120,317,-1.224307417336912,1.3404825737265416,1.1483467381590675,2.5647899910634537,-0.19213583556747404,36.39
