,holm,hochberg,hommel,bonferroni,BH,BY,none,,
86,3.19E-06,3.17E-06,3.14E-06,3.83E-06,1.47E-07,8.18E-07,2.66E-08,,
87,1.05E-08,1.05E-08,1.04E-08,1.15E-08,8.24E-10,4.57E-09,8.01E-11,,
88,0.000208027,0.000208027,0.00020421,0.000274824,7.63E-06,4.24E-05,1.91E-06,,
89,0.03901625,0.03901625,0.035890909,0.06174,0.001143333,0.006346068,0.00042875,,
90,3.08E-10,3.08E-10,3.06E-10,3.26E-10,3.62E-11,2.01E-10,2.27E-12,,
91,1.29E-09,1.29E-09,1.29E-09,1.39E-09,1.16E-10,6.45E-10,9.68E-12,,
92,0.0060682,0.006007518,0.00576479,0.008738208,0.000189961,0.001054378,6.07E-05,,
93,1,1,1,1,0.185032258,1,0.1195,,
94,1,1,1,1,0.548346903,1,0.4303,,
95,1,1,1,1,1,1,0.9468,,
96,1,1,1,1,0.498451376,1,0.3773,,
97,1,1,1,1,0.376357282,1,0.2692,,
98,0.002678412,0.002652408,0.002574396,0.003744576,8.71E-05,0.000483355,2.60E-05,,
99,1.19E-05,1.19E-05,1.16E-05,1.46E-05,5.22E-07,2.90E-06,1.01E-07,,
100,0.000139538,0.000139538,0.000135767,0.000181022,5.32E-06,2.96E-05,1.26E-06,,
101,0.05222001,0.05222001,0.0480184,0.08643312,0.001490226,0.008271496,0.00060023,,
102,5.32E-06,5.32E-06,5.23E-06,6.49E-06,2.40E-07,1.33E-06,4.51E-08,,
103,0.03266385,0.03266385,0.02956938,0.04951152,0.000974049,0.005406457,0.00034383,,
104,1,1,1,1,0.232329897,1,0.1565,,
105,5.16E-11,5.16E-11,5.16E-11,5.38E-11,7.68E-12,4.27E-11,3.74E-13,,
106,1.95E-05,1.95E-05,1.93E-05,2.46E-05,7.95E-07,4.41E-06,1.71E-07,,
107,0.007544824,0.007544824,0.007159884,0.011086272,0.000235878,0.001309241,7.70E-05,,
108,8.32E-10,8.32E-10,8.26E-10,8.94E-10,8.13E-11,4.51E-10,6.21E-12,,
109,0.7797,0.7684,0.6667,1,0.021132468,0.117295701,0.0113,,
110,1,1,1,1,0.947921311,1,0.8031,,
111,1,1,1,1,1,1,1,,
112,1,1,1,1,0.83904,1,0.6992,,
113,4.55E-07,4.55E-07,4.55E-07,5.36E-07,2.33E-08,1.29E-07,3.73E-09,,
114,1,1,1,1,0.228277895,1,0.1506,,
115,1,1,1,1,0.058437209,0.324355565,0.0349,,
116,0.04911554,0.04911554,0.04470066,0.07946784,0.001419069,0.007876536,0.00055186,,
117,0.000225374,0.000225374,0.000223288,0.000300499,8.12E-06,4.51E-05,2.09E-06,,
118,0.9472,0.9472,0.8436,1,0.026311111,0.146039748,0.0148,,
119,1,1,1,1,0.533185714,1,0.4135,,
120,0.001395914,0.001395914,0.001343238,0.001896336,4.86E-05,0.000269887,1.32E-05,,
121,0.003600145,0.003600145,0.003528855,0.00513288,0.000116656,0.000647501,3.56E-05,,
122,0.00144669,0.00144669,0.001405356,0.001984032,4.96E-05,0.000275309,1.38E-05,,
123,1,1,1,1,0.120763636,0.670298222,0.0738,,
124,0.1118,0.1105,0.0962,0.1872,0.00312,0.017317551,0.0013,,
125,1,1,1,1,0.039863415,0.22126177,0.0227,,
126,1,1,1,1,0.306864,1,0.2131,,
127,1,1,1,1,0.857930579,1,0.7209,,
128,1,1,1,1,1,1,0.9995,,
129,1,1,1,1,1,1,0.9946,,
130,1,1,1,1,0.243036735,1,0.1654,,
131,2.91E-05,2.91E-05,2.91E-05,3.70E-05,1.16E-06,6.42E-06,2.57E-07,,
132,1,1,1,1,1,1,1,,
133,1,1,1,1,1,1,0.9781,,
134,1,1,1,1,1,1,0.9996,,
135,1,1,1,1,1,1,0.9965,,
136,1,1,1,1,0.215387234,1,0.1406,,
137,1.76E-05,1.76E-05,1.73E-05,2.21E-05,7.36E-07,4.09E-06,1.53E-07,,
138,1,1,1,1,1,1,1,,
139,0.4392,0.4392,0.3843,0.8784,0.012032877,0.066788448,0.0061,,
140,1,1,1,1,0.986112,1,0.856,,
141,0.897,0.897,0.799433333,1,0.02484,0.13787435,0.0138,,
142,1,1,1,1,1,1,0.9563,,
143,1,1,1,1,0.601794783,1,0.4806,,
144,0.342,0.342,0.288,0.648,0.009391304,0.052126408,0.0045,,
,44,44,44,43,62,49,71,,60
,holm,hochberg,hommel,bonferroni,BH,BY,none,,
,31%,31%,31%,30%,43%,34%,49%,,
