term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,19.137,6.379,3,543.117,8.074,2.9e-05,8.6e-05,p<.001
pre_syls,6.237,2.079,3,40.993,2.631,0.063,0.1,
fin_phon,0.133,0.133,1,755.562,0.168,0.682,0.737,
nuc_new_word,1.952,1.952,1,44.155,2.471,0.123,0.175,
gender,0.354,0.354,1,8.983,0.448,0.52,0.585,
