term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,159.344,53.115,3,754.117,19.599,3.0e-12,1.4e-11,p<.001
pre_syls,18.807,6.269,3,330.09,2.313,0.076,0.116,
fin_phon,617.26,617.26,1,768.328,227.769,2.9e-45,3.1e-44,p<.001
nuc_new_word,3.961,3.961,1,420.495,1.462,0.227,0.303,
gender,2.038,2.038,1,8.985,0.752,0.408,0.484,
