npar,AIC,BIC,logLik,deviance,Chisq,Df,Pr(>Chisq),p.adj (BH),signif.
5,590.938,614.285,-290.469,580.938,NA,NA,NA,NA,NA
12,563.318,619.352,-269.659,539.318,41.619,7,6.2e-07,NA,NA
