effect,npar,AIC,BIC,logLik,deviance,Chisq,Df,Pr(>Chisq),p.adj (BH),signif.
foot_syls,13,567.915,628.619,-270.958,541.915,10.779,3,0.013,0.026,p<0.05
wrd_end_syl,13,567.915,628.619,-270.958,541.915,13.208,2,0.001,0.004,p<0.01
speech_rate,13,567.915,628.619,-270.958,541.915,15.717,1,7.4e-05,5.9e-04,p<0.001
gender,13,567.915,628.619,-270.958,541.915,2.672,1,0.102,0.136,
