intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=16),signif. 
modeMDC,3.417,0.112,3.198,3.636,30.576,11.72,1.5160e-12,2.43e-11,p<0.001
modeMWH,3.475,0.108,3.263,3.687,32.141,10.26,1.2373e-11,1.98e-10,p<0.001
modeMYN,3.468,0.105,3.263,3.673,33.182,10.85,2.9515e-12,4.72e-11,p<0.001
modeMDQ,3.712,0.093,3.529,3.894,39.852,9.5,6.7152e-12,1.07e-10,p<0.001
