intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=16),signif. 
modeMDC,modeMWH,0.26,0.306,-0.339,0.859,0.851,10.05,0.4147,0.9999,
modeMDC,modeMYN,0.073,0.321,-0.555,0.701,0.228,9.81,0.824,0.9999,
modeMDC,modeMDQ,1.976,0.479,1.037,2.914,4.127,9.35,0.0024,0.0379,p<0.05
modeMWH,modeMYN,-0.187,0.458,-1.085,0.712,-0.408,9.96,0.6921,0.9999,
modeMWH,modeMDQ,1.716,0.558,0.622,2.809,3.075,9.7,0.0122,0.1946,
modeMYN,modeMDQ,1.903,0.326,1.263,2.542,5.83,9.48,2.0427e-04,0.0033,p<0.01
