intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=16),signif. 
modeMDC,modeMWH,-0.277,3.035,-6.224,5.671,-0.091,615.03,0.9274,0.9999,
modeMDC,modeMYN,-4.014,3.039,-9.972,1.943,-1.321,615.02,0.1871,0.9999,
modeMDC,modeMDQ,-20.57,3.096,-26.638,-14.501,-6.643,615.16,6.7541e-11,1.08e-09,p<0.001
modeMWH,modeMYN,-3.738,3.033,-9.683,2.208,-1.232,615.07,0.2184,0.9999,
modeMWH,modeMDQ,-20.293,3.095,-26.359,-14.227,-6.556,615.25,1.1675e-10,1.87e-09,p<0.001
modeMYN,modeMDQ,-16.555,3.083,-22.598,-10.512,-5.369,615.11,1.1225e-07,1.80e-06,p<0.001
