intercept,slope,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value
modeMDC,modeMWH,0.47,0.311,-0.139,1.078,1.513,10.07,0.16110561980627425
modeMDC,modeMYN,0.76,0.249,0.272,1.247,3.051,10.07,0.012133999851830135
modeMDC,modeMDQ,2.287,0.438,1.428,3.147,5.216,10.06,3.840627415693173e-4
modeMWH,modeMYN,0.29,0.252,-0.205,0.785,1.148,9.98,0.2776406458677073
modeMWH,modeMDQ,1.817,0.632,0.58,3.055,2.878,10.04,0.01638917296804523
modeMYN,modeMDQ,1.528,0.591,0.37,2.686,2.585,10.06,0.027052868292548906
