intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=4),signif. 
modeMDC,86.082,1.515,83.112,89.052,56.805,10,6.9200e-14,2.77e-13,p<0.001
modeMWH,86.551,1.352,83.901,89.201,64.013,10,2.1027e-14,8.41e-14,p<0.001
modeMYN,86.841,1.387,84.123,89.56,62.616,10,2.6189e-14,1.05e-13,p<0.001
modeMDQ,88.369,1.591,85.251,91.487,55.555,10,8.6136e-14,3.45e-13,p<0.001
