intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=4),signif. 
modeMDC,modeMWH,0.47,0.311,-0.139,1.078,1.513,10.07,0.1611,0.6444,
modeMDC,modeMYN,0.76,0.249,0.272,1.247,3.051,10.07,0.0121,0.0485,p<0.05
modeMDC,modeMDQ,2.287,0.438,1.428,3.147,5.216,10.06,3.8406e-04,0.0015,p<0.01
modeMWH,modeMYN,0.29,0.252,-0.205,0.785,1.148,9.98,0.2776,0.9999,
modeMWH,modeMDQ,1.817,0.632,0.58,3.055,2.878,10.04,0.0164,0.0656,(p<0.1)
modeMYN,modeMDQ,1.528,0.591,0.37,2.686,2.585,10.06,0.0271,0.1082,
