intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value
modeMDC,86.082,1.515,83.112,89.052,56.805,10,6.920017034333497e-14
modeMWH,86.551,1.352,83.901,89.201,64.013,10,2.1026649537470587e-14
modeMYN,86.841,1.387,84.123,89.56,62.616,10,2.6188606068597535e-14
modeMDQ,88.369,1.591,85.251,91.487,55.555,10,8.613609097711891e-14
