intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.val. adj. (bf=7),signif. 
modeMDC,89.169,1.125,86.965,91.373,79.291,11.53,3.8567233247645144e-17,7.713446649529029e-17,p<0.001
modeMWH,89.64,0.979,87.721,91.558,91.584,10.06,5.015574395577015e-16,1.003114879115403e-15,p<0.001
modeMYN,89.93,1.06,87.853,92.007,84.854,11.2,4.329442564084953e-17,8.658885128169906e-17,p<0.001
modeMDQ,91.459,1.31,88.89,94.027,69.796,12.47,1.506525667054075e-17,3.01305133410815e-17,p<0.001
