intercept,slope,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=4),signif. 
modeMDC,modeMWH,2.189,2.154,-2.034,6.411,1.016,10.18,0.3332,0.9999,
modeMDC,modeMYN,1.442,1.68,-1.851,4.735,0.858,9.5,0.4118,0.9999,
modeMDC,modeMDQ,10.752,2.066,6.704,14.801,5.205,8.21,7.5333e-04,0.003,p<0.01
modeMWH,modeMYN,-0.747,2.852,-6.337,4.844,-0.262,9.97,0.7989,0.9999,
modeMWH,modeMDQ,8.564,2.609,3.45,13.678,3.282,9.31,0.0091,0.0363,p<0.05
modeMYN,modeMDQ,9.31,1.777,5.827,12.794,5.238,10.11,3.6695e-04,0.0015,p<0.01
