intercept,estimate,std.error,2.5% CI,97.5% CI,z.value,df,p.value
modeMDC,-0.42,0.699,-1.79,0.949,-0.602,9.97,0.5607660854671004
modeMWH,-2.844,0.875,-4.559,-1.129,-3.25,9.99,0.008729287950547927
modeMYN,3.12,0.662,1.822,4.417,4.713,10.03,8.184133095990951e-4
modeMDQ,6.096,1.049,4.039,8.153,5.809,10.04,1.6829474498787297e-4
