term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,128.294,42.765,3,760.155,0.083,0.969,0.969,
pre_syls,6263.58,2087.86,3,757.92,4.034,0.007,0.015,p<.05
fin_phon,224.724,224.724,1,767.059,0.434,0.51,0.58,
nuc_new_word,559.082,559.082,1,760.645,1.08,0.299,0.394,
gender,30378.074,30378.074,1,8.957,58.695,3.2e-05,9.3e-05,p<.001
