term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,5.472,1.824,3,19.24,33.937,7.0e-08,2.9e-07,p<.001
gender,0.054,0.054,1,11.76,1.003,0.337,0.425,
