term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,182.645,60.882,3,747.473,48.768,8.6e-29,7.5e-28,p<.001
pre_syls,29.61,9.87,3,713.504,7.906,3.4e-05,9.9e-05,p<.001
fin_phon,8.551,8.551,1,749.642,6.849,0.009,0.017,p<.05
nuc_new_word,1.948,1.948,1,719.993,1.56,0.212,0.297,
gender,0.682,0.682,1,8.997,0.547,0.479,0.566,
