intercept,estimate,conf.low,conf.high,std.error,t.value,df,p.value,p.adj (BH),signif.
foot_syls1,3.13,2.8656403600545475,3.3959010160633247,0.12,25.16,15.07,1.0056393522837506e-13,NA,NA
foot_syls2,3.11,2.836626192588283,3.3839399709144953,0.13,23.87,18.1,3.907968398721682e-15,NA,NA
foot_syls3,3,2.73504195781646,3.2650736688507283,0.12,24.12,15.03,1.9692989087429687e-13,NA,NA
foot_syls4,2.45,2.1928536571219492,2.716109166867155,0.12,20.08,14.3,6.9697288277374974e-12,NA,NA
pre_syls0,3.13,2.8656403600545475,3.3959010160633247,0.12,25.16,15.07,1.0056393522837506e-13,NA,NA
pre_syls1,3.4,3.1376758995157217,3.6680649251910853,0.12,27.34,15.09,2.848688534966209e-14,NA,NA
pre_syls2,3.5,3.239304895653011,3.768676377209043,0.12,28.18,15.24,1.4545839472909207e-14,NA,NA
pre_syls3,3.58,3.319327465083674,3.846615012427354,0.12,28.98,14.95,1.5006879431030416e-14,NA,NA
