term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
pre_syls,170456.887,56818.962,3,706.273,107.226,3.272551459249279e-57,NA,NA
foot_syls,206742.598,68914.199,3,13.5,130.051,3.334131637974877e-10,NA,NA
fin_phon,29762.966,29762.966,1,751.128,56.167,1.8761533196192974e-13,NA,NA
gender,5283.163,5283.163,1,9.004,9.97,0.011589707439427433,NA,NA
