term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,0.319,0.159,2,714.376,0.07,0.9321543958507845,NA,NA
ana_syls,4.436,1.479,3,2,0.651,0.6525510642021595,NA,NA
foot_syls,28.882,9.627,3,287.463,4.241,0.005929590656122048,NA,NA
wrd_end_syl,7.325,3.663,2,716.834,1.614,0.19989532442264366,NA,NA
