term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,0.335,0.335,1,469.578,0.223,0.6373220168493576,NA,NA
ana_syls,9.631,3.21,3,2,2.131,0.335226600768353,NA,NA
foot_syls,0.286,0.095,3,262.295,0.063,0.9791423888420085,NA,NA
wrd_end_syl,2.797,1.398,2,476.922,0.928,0.3960225393025954,NA,NA
