term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,2.826,1.413,2,98.659,1.828,0.16615651455192973,NA,NA
foot_syls,39.486,13.162,3,154.898,17.029,1.309723489855502e-9,NA,NA
