intercept,slope,estimate,conf.low,conf.high,std.error,z.value,p.value,p.adj (BH),signif.
ana_syls0,ana_syls1,3.91,0.6857917607054973,22.32179606602794,3.48,1.54,0.12467681507765194,NA,NA
ana_syls0,ana_syls2,0.08,0.0034252509789097787,1.6622019932117995,0.12,-1.64,0.10144282803830744,NA,NA
ana_syls0,ana_syls3,0.07,0.003265039610926604,1.5966848739352688,0.11,-1.66,0.09616145488812347,NA,NA
ana_syls1,ana_syls2,0.04,0.0020017788472241364,0.7256787585046961,0.06,-2.17,0.02976142003661947,NA,NA
ana_syls1,ana_syls3,0.04,0.0019004616833109569,0.680093551825885,0.05,-2.22,0.0266251392285595,NA,NA
ana_syls2,ana_syls3,0.24,0.0071638166985699475,7.882493622453372,0.42,-0.8,0.421201466412215,NA,NA
foot_syls1,foot_syls2,1.41,0.41004463997687807,4.860541617955549,0.89,0.55,0.5846075902849589,NA,NA
foot_syls1,foot_syls3,0.39,0.11006487229679893,1.3778488713798092,0.25,-1.46,0.14352122458672587,NA,NA
foot_syls1,foot_syls4,0.36,0.05816694592583712,2.167925874756159,0.33,-1.12,0.2620031753899225,NA,NA
foot_syls2,foot_syls3,0.3,0.09638112470925209,0.9076410429684495,0.17,-2.13,0.03322490613650934,NA,NA
foot_syls2,foot_syls4,0.27,0.05379008897506462,1.3505075357649967,0.22,-1.59,0.110818386359808,NA,NA
foot_syls3,foot_syls4,0.82,0.17904209157789217,3.7948618240952077,0.64,-0.25,0.8040935374704958,NA,NA
wrd_end_syl1,wrd_end_syl2,0.08,0.023962169629732764,0.29450313062637434,0.05,-3.87,1.0882583490151453e-4,NA,NA
wrd_end_syl1,wrd_end_syl3,0.05,0.0032226078462279616,0.9316491112440299,0.08,-2.01,0.0445436564279963,NA,NA
wrd_end_syl2,wrd_end_syl3,0.26,0.009499238947756401,7.205374083628201,0.44,-0.79,0.4280071119693718,NA,NA
intercept,speech_rate,1.164,0.7298807055010476,1.8548342272523217,0.277,0.637,0.5244013933660299,NA,NA
intercept,genderM,11.394,1.836185969356275,70.69756721341322,10.611,2.612,0.008989157889424395,NA,NA
