term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,3.894,1.947,2,702.548,0.97,0.38,0.57,
ana_syls,11.671,3.89,3,2.753,1.938,0.312,0.57,
foot_syls,1.468,0.489,3,2.793,0.244,0.862,0.924,
wrd_end_syl,15.196,7.598,2,10.542,3.784,0.058,0.19,
pn_new_word,0.689,0.689,1,2.748,0.343,0.603,0.765,
speech_rate,30.527,30.527,1,470.817,15.205,1.1e-04,9.1e-04,p<0.001
