term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,40033.762,20016.881,2,188.445,29.646,6.4e-12,7.7e-11,p<.001
ana_syls,49661.712,16553.904,3,184.22,24.517,2.1e-13,3.8e-12,p<.001
wrd_end_syl,6.809,6.809,1,185.748,0.01,0.92,0.966,
gender,14207.895,14207.895,1,9.209,21.042,0.001,0.005,p<.01
