term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,9.183,3.061,3,225.343,4.252,0.006030347615071333,NA,NA
ana_syls,2.458,0.819,3,2,1.138,0.49922196013790276,NA,NA
pn_new_word,0.651,0.651,1,1.956,0.904,0.4439444413020912,NA,NA
wrd_end_syl,1.425,0.713,2,55.885,0.99,0.3779633033390636,NA,NA
gender,2.91,2.91,1,9.274,4.042,0.07433565894515774,NA,NA
