term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
acc_phon,322086.832,161043.416,2,687.229,124.473,7.4e-47,2.4e-45,p<0.001
ana_syls,7625.875,2541.958,3,2,1.965,0.355,0.57,
foot_syls,9285.462,3095.154,3,5.092,2.392,0.183,0.45,
wrd_end_syl,5116.043,2558.022,2,19.716,1.977,0.165,0.44,
pn_new_word,1735.657,1735.657,1,4.972,1.342,0.299,0.548,
gender,36625.353,36625.353,1,9.108,28.308,4.6e-04,0.004,p<0.01
