term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,0.775,0.258,3,4.55,1.704,0.29,0.59,
ana_syls,0.486,0.162,3,4.773,1.067,0.444,0.646,
pn_new_word,0.041,0.041,1,4.497,0.269,0.629,0.805,
wrd_end_syl,0.033,0.017,2,20.345,0.11,0.896,0.956,
gender,1.338,1.338,1,9.332,8.829,0.015,0.069,(p<0.1)
