speaker,f0_mean,f0_SD,f0_med,f0_min,f0_max
F5,92.292,3.475,91.558,85.542,106.342
F6,91.840,2.238,91.550,87.515,101.851
F12,89.540,3.125,89.319,78.596,102.994
F15,86.324,2.158,86.311,79.842,94.243
F16,90.869,1.652,90.819,84.811,97.824
F17,90.547,2.482,89.773,86.132,103.024
M4,76.864,3.534,75.826,69.438,88.538
M5,82.817,3.513,82.457,75.545,93.522
M8,84.047,2.937,84.070,76.383,95.109
M9,86.973,3.047,86.823,80.295,97.112
M10,83.788,2.576,83.500,75.953,94.499
