speaker,f0_mean,f0_SD,f0_med,f0_min,f0_max
F5,90.676,2.115,90.628,85.441,97.535
F6,91.719,2.022,91.663,86.953,97.773
F12,88.235,2.213,88.204,79.335,96.388
F15,87.711,2.079,87.717,81.724,95.254
F16,91.377,1.654,91.326,86.969,97.714
F17,89.565,1.806,89.241,85.698,97.949
M4,77.002,2.541,76.626,67.548,85.427
M5,82.185,3.067,82.056,75.938,91.201
M8,83.355,2.596,83.435,77.621,91.148
M9,85.331,2.421,84.892,79.432,94.520
M10,83.049,2.133,82.916,72.625,90.749
