term,sumsq,meansq,NumDF,DenDF,F value,p.value,p.adj (BH),signif.
foot_syls,165.275,55.092,3,6.367,47.879,9.4e-05,3.9e-04,p<.001
pre_syls,1.54,0.513,3,4.875,0.446,0.731,0.795,
fin_phon,11.946,11.946,1,750.407,10.382,0.001,0.003,p<.01
nuc_new_word,1.135,1.135,1,4.938,0.986,0.367,0.522,
gender,0.6,0.6,1,8.997,0.522,0.488,0.623,
