intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,6.111,0.403,5.32,6.901,15.151,10.85,1.2079e-08,9.66e-08,p<0.001
modeMWH,6.346,0.403,5.556,7.136,15.744,10.83,8.3423e-09,6.67e-08,p<0.001
modeMYN,6.114,0.407,5.316,6.913,15.007,11.3,8.2091e-09,6.57e-08,p<0.001
modeMDQ,7.37,0.425,6.537,8.204,17.336,13.38,1.4851e-10,1.19e-09,p<0.001
acc_phonL*H,6.111,0.403,5.32,6.901,15.151,10.85,1.2079e-08,9.66e-08,p<0.001
acc_phon^[L*]H,2.958,0.857,1.279,4.637,3.454,0,0.996,0.9999,
acc_phonL*^[H],9.421,0.63,8.187,10.655,14.961,11.43,7.3666e-09,5.89e-08,p<0.001
acc_phon^[L*H],7.177,0.376,6.441,7.914,19.106,14.09,1.7945e-11,1.44e-10,p<0.001
