intercept,estimate,std.error,2.5% CI,97.5% CI,t.value,df,p.value,p.adj. (bf=8),signif. 
modeMDC,86.604,1.192,84.268,88.94,72.649,9.24,4.5926e-14,3.67e-13,p<0.001
modeMWH,86.744,1.192,84.408,89.081,72.76,9.25,4.5007e-14,3.60e-13,p<0.001
modeMYN,87.744,1.193,85.406,90.082,73.554,9.27,3.7887e-14,3.03e-13,p<0.001
modeMDQ,86.975,1.202,84.618,89.332,72.334,9.57,1.9716e-14,1.58e-13,p<0.001
acc_phonL*H,86.604,1.192,84.268,88.94,72.649,9.24,4.5926e-14,3.67e-13,p<0.001
acc_phon^[L*]H,90.344,1.587,87.234,93.454,56.93,13.61,1.3941e-17,1.12e-16,p<0.001
acc_phonL*^[H],88.237,1.298,85.693,90.78,67.991,9.68,2.6984e-14,2.16e-13,p<0.001
acc_phon^[L*H],90.754,1.411,87.988,93.521,64.307,12.21,7.9863e-17,6.39e-16,p<0.001
